time,rate,requested_rate
2025-09-19T10:24:24.055616153+00:00,888,
2025-09-19T10:24:25.055365212+00:00,34754,
2025-09-19T10:24:26.055584955+00:00,0,
2025-09-19T10:24:27.054906701+00:00,0,
2025-09-19T10:24:28.055184586+00:00,0,
2025-09-19T10:24:29.055014121+00:00,0,
2025-09-19T10:24:30.055210315+00:00,0,
2025-09-19T10:24:31.055525981+00:00,0,
2025-09-19T10:24:32.054769277+00:00,0,
2025-09-19T10:24:33.055340513+00:00,0,
2025-09-19T10:24:34.055487830+00:00,0,
2025-09-19T10:24:35.054851241+00:00,0,
2025-09-19T10:24:36.055019920+00:00,0,
2025-09-19T10:24:37.055265532+00:00,0,
2025-09-19T10:24:38.055504549+00:00,0,
2025-09-19T10:24:39.055255820+00:00,9056,
2025-09-19T10:24:40.055487183+00:00,0,
2025-09-19T10:24:41.054683135+00:00,0,
2025-09-19T10:24:42.055126128+00:00,9128,
2025-09-19T10:24:43.055470568+00:00,0,
2025-09-19T10:24:44.055254653+00:00,9093,
2025-09-19T10:24:45.055508405+00:00,0,
2025-09-19T10:24:46.055255345+00:00,8700,
2025-09-19T10:24:47.055641695+00:00,9509,
2025-09-19T10:24:48.054894498+00:00,8691,
2025-09-19T10:24:49.055424677+00:00,9115,
2025-09-19T10:24:50.054908960+00:00,29692,
2025-09-19T10:24:51.055514292+00:00,17364,
2025-09-19T10:24:52.055755820+00:00,18619,
2025-09-19T10:24:53.054946650+00:00,28070,
2025-09-19T10:24:54.055159075+00:00,19791,
2025-09-19T10:24:55.055050353+00:00,19015,
2025-09-19T10:24:56.055446539+00:00,18159,
2025-09-19T10:24:57.055452037+00:00,17812,
2025-09-19T10:24:58.055406807+00:00,19428,
2025-09-19T10:24:59.054788209+00:00,17373,
2025-09-19T10:25:00.054997612+00:00,27695,
2025-09-19T10:25:01.054910690+00:00,19404,
2025-09-19T10:25:02.055508010+00:00,27329,
2025-09-19T10:25:03.055337587+00:00,9114,
2025-09-19T10:25:04.055594141+00:00,28992,
2025-09-19T10:25:05.055014225+00:00,17769,
2025-09-19T10:25:06.055239956+00:00,28235,
2025-09-19T10:25:07.055045526+00:00,28546,
2025-09-19T10:25:08.055158016+00:00,28233,
2025-09-19T10:25:09.055075505+00:00,35157,
2025-09-19T10:25:10.055283240+00:00,27023,
2025-09-19T10:25:11.055062335+00:00,37884,
2025-09-19T10:25:12.055462284+00:00,37440,
2025-09-19T10:25:13.055223224+00:00,29769,
2025-09-19T10:25:14.055574501+00:00,37452,
2025-09-19T10:25:15.055706008+00:00,27485,
2025-09-19T10:25:16.055057667+00:00,28191,
2025-09-19T10:25:17.054883501+00:00,9275,
2025-09-19T10:25:18.055247836+00:00,37088,
2025-09-19T10:25:19.055178135+00:00,37451,
2025-09-19T10:25:20.054946704+00:00,40172,
2025-09-19T10:25:21.055064416+00:00,16039,
