time,rate,requested_rate
2025-09-19T10:08:29.173638198+00:00,839,
2025-09-19T10:08:30.173696432+00:00,80043,
2025-09-19T10:08:31.174200854+00:00,45138,
2025-09-19T10:08:32.174401350+00:00,54158,
2025-09-19T10:08:33.173622282+00:00,53418,
2025-09-19T10:08:34.173558286+00:00,62137,
2025-09-19T10:08:35.174261846+00:00,27693,
2025-09-19T10:08:36.173737831+00:00,27685,
2025-09-19T10:08:37.173524793+00:00,27723,
2025-09-19T10:08:38.174057953+00:00,26506,
2025-09-19T10:08:39.173498616+00:00,27824,
2025-09-19T10:08:40.174341303+00:00,26309,
2025-09-19T10:08:41.174013670+00:00,25861,
2025-09-19T10:08:42.174155990+00:00,35199,
2025-09-19T10:08:43.174361434+00:00,26228,
2025-09-19T10:08:44.173659714+00:00,17397,
2025-09-19T10:08:45.173447169+00:00,16971,
2025-09-19T10:08:46.174288864+00:00,17011,
2025-09-19T10:08:47.173814993+00:00,26259,
2025-09-19T10:08:48.173686205+00:00,17414,
2025-09-19T10:08:49.174178973+00:00,44794,
2025-09-19T10:08:50.173567497+00:00,35521,
2025-09-19T10:08:51.174148923+00:00,44106,
2025-09-19T10:08:52.173829426+00:00,43631,
2025-09-19T10:08:53.173553759+00:00,44020,
2025-09-19T10:08:54.174146484+00:00,35192,
2025-09-19T10:08:55.173716129+00:00,30923,
