time,rate,requested_rate
2025-09-19T10:14:43.111238341+00:00,789,
2025-09-19T10:14:44.111520857+00:00,108349,
2025-09-19T10:14:45.111558973+00:00,59356,
2025-09-19T10:14:46.111642252+00:00,51813,
2025-09-19T10:14:47.111391502+00:00,60170,
2025-09-19T10:14:48.111531237+00:00,35206,
2025-09-19T10:14:49.111363271+00:00,37595,
2025-09-19T10:14:50.111277647+00:00,29298,
2025-09-19T10:14:51.111393214+00:00,30273,
2025-09-19T10:14:52.111548319+00:00,28192,
2025-09-19T10:14:53.111472976+00:00,21275,
2025-09-19T10:14:54.112067198+00:00,33593,
2025-09-19T10:14:55.111995213+00:00,27841,
2025-09-19T10:14:56.111392460+00:00,28968,
2025-09-19T10:14:57.111189505+00:00,20468,
2025-09-19T10:14:58.112004120+00:00,21645,
2025-09-19T10:14:59.111500589+00:00,15433,
2025-09-19T10:15:00.111611260+00:00,20102,
2025-09-19T10:15:01.110950979+00:00,22012,
2025-09-19T10:15:02.111948193+00:00,49813,
2025-09-19T10:15:03.111990894+00:00,45640,
2025-09-19T10:15:04.111216299+00:00,48681,
2025-09-19T10:15:05.111199277+00:00,43238,
2025-09-19T10:15:06.111631220+00:00,49473,
2025-09-19T10:15:07.111690638+00:00,30777,
