time,rate,requested_rate
2025-09-18T17:51:24.065326802+00:00,2618,
2025-09-18T17:51:25.065540515+00:00,255479,
2025-09-18T17:51:26.065462450+00:00,61867,
2025-09-18T17:51:27.065029658+00:00,112218,
2025-09-18T17:51:28.065158579+00:00,97587,
2025-09-18T17:51:29.065200965+00:00,46396,
2025-09-18T17:51:30.065855346+00:00,95193,
2025-09-18T17:51:31.065851265+00:00,97591,
2025-09-18T17:51:32.065165940+00:00,49121,
2025-09-18T17:51:33.065382904+00:00,54241,
2025-09-18T17:51:34.064995281+00:00,108859,
2025-09-18T17:51:35.065289962+00:00,54239,
2025-09-18T17:51:36.065396216+00:00,108850,
2025-09-18T17:51:37.064917272+00:00,54243,
2025-09-18T17:51:38.065248977+00:00,54277,
2025-09-18T17:51:39.065733492+00:00,108839,
2025-09-18T17:51:40.065053500+00:00,54247,
2025-09-18T17:51:41.065359083+00:00,54260,
2025-09-18T17:51:42.065882360+00:00,106125,
2025-09-18T17:51:43.065019077+00:00,195827,
2025-09-18T17:51:44.065845356+00:00,149447,
2025-09-18T17:51:45.067585390+00:00,195989,
2025-09-18T17:51:46.065132952+00:00,154353,
2025-09-18T17:51:47.065190118+00:00,152208,
2025-09-18T17:51:48.065630673+00:00,198556,
2025-09-18T17:51:49.065339465+00:00,152167,
2025-09-18T17:51:50.065131524+00:00,146718,
2025-09-18T17:51:51.065017564+00:00,149442,
2025-09-18T17:51:52.065851129+00:00,200986,
2025-09-18T17:51:53.065359031+00:00,147235,
2025-09-18T17:51:54.065823371+00:00,154763,
2025-09-18T17:51:55.065426536+00:00,152187,
2025-09-18T17:51:56.065473107+00:00,190491,
2025-09-18T17:51:57.065778852+00:00,159914,
2025-09-18T17:51:58.065069819+00:00,146697,
2025-09-18T17:51:59.065628073+00:00,198602,
2025-09-18T17:52:00.065010011+00:00,182426,
2025-09-18T17:52:01.065527855+00:00,185944,
2025-09-18T17:52:02.064929482+00:00,155658,
2025-09-18T17:52:03.067241885+00:00,195993,
2025-09-18T17:52:04.065649346+00:00,151636,
2025-09-18T17:52:05.065584945+00:00,146737,
2025-09-18T17:52:06.066913326+00:00,198617,
2025-09-18T17:52:07.065559332+00:00,154854,
2025-09-18T17:52:08.065213021+00:00,152199,
2025-09-18T17:52:09.065773389+00:00,146728,
2025-09-18T17:52:10.065076712+00:00,146742,
2025-09-18T17:52:11.065347342+00:00,210446,
2025-09-18T17:52:12.065039083+00:00,176073,
2025-09-18T17:52:13.065190983+00:00,160083,
2025-09-18T17:52:14.065364305+00:00,160099,
2025-09-18T17:52:15.065354144+00:00,166035,
2025-09-18T17:52:16.065612108+00:00,112425,
2025-09-18T17:52:17.065475687+00:00,163078,
2025-09-18T17:52:18.065826085+00:00,59569,
2025-09-18T17:52:19.065457747+00:00,216317,
2025-09-18T17:52:20.065678045+00:00,160109,
2025-09-18T17:52:21.064927979+00:00,216698,
2025-09-18T17:52:22.065674425+00:00,166084,
2025-09-18T17:52:23.064867463+00:00,163104,
2025-09-18T17:52:24.067642026+00:00,206965,
2025-09-18T17:52:25.065712853+00:00,154337,
2025-09-18T17:52:26.065231259+00:00,146747,
2025-09-18T17:52:27.065369746+00:00,154914,
2025-09-18T17:52:28.065368145+00:00,154908,
2025-09-18T17:52:29.065674638+00:00,12643,
