time,rate,requested_rate
2025-09-18T17:03:44.089670155+00:00,411,
2025-09-18T17:03:44.089680441+00:00,0,
2025-09-18T17:03:44.089683928+00:00,0,
2025-09-18T17:03:44.089687981+00:00,0,
2025-09-18T17:03:44.089691652+00:00,0,
2025-09-18T17:03:44.089693757+00:00,0,
2025-09-18T17:03:44.089695693+00:00,0,
2025-09-18T17:03:44.089699487+00:00,0,
2025-09-18T17:03:44.089701503+00:00,0,
2025-09-18T17:03:44.089703411+00:00,0,
2025-09-18T17:03:44.089706603+00:00,0,
2025-09-18T17:03:44.089710505+00:00,0,
2025-09-18T17:03:44.089712497+00:00,0,
2025-09-18T17:03:44.089715787+00:00,0,
2025-09-18T17:03:44.089720028+00:00,0,
2025-09-18T17:03:44.089722228+00:00,0,
2025-09-18T17:03:44.648329927+00:00,617047,
2025-09-18T17:03:45.648515883+00:00,913067,
2025-09-18T17:03:46.648688958+00:00,1086985,
2025-09-18T17:03:47.648191304+00:00,1233843,
2025-09-18T17:03:48.648063399+00:00,1241519,
2025-09-18T17:03:49.647941995+00:00,1209603,
2025-09-18T17:03:50.648562295+00:00,1352577,
2025-09-18T17:03:51.651075040+00:00,1231546,
2025-09-18T17:03:52.647830756+00:00,313402,
